




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (973)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (expected)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (over/under)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (fold Enrichment)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (raw P-value)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (FDR)
regulation of secretion by cell (GO:1903530)	666	65	29.47	+	2.21	1.92E-08	2.06E-06
skeletal system morphogenesis (GO:0048705)	246	24	10.89	+	2.20	6.39E-04	2.22E-02
behavior (GO:0007610)	697	68	30.84	+	2.20	8.15E-09	9.39E-07
protein complex oligomerization (GO:0051259)	226	22	10.00	+	2.20	1.17E-03	3.70E-02
embryonic morphogenesis (GO:0048598)	627	61	27.75	+	2.20	6.80E-08	6.39E-06
regulation of binding (GO:0051098)	391	38	17.30	+	2.20	2.64E-05	1.46E-03
positive regulation of developmental process (GO:0051094)	1431	139	63.32	+	2.20	6.56E-17	3.34E-14
in utero embryonic development (GO:0001701)	526	51	23.28	+	2.19	8.86E-07	6.85E-05
covalent chromatin modification (GO:0016569)	341	33	15.09	+	2.19	7.52E-05	3.64E-03
cell junction assembly (GO:0034329)	249	24	11.02	+	2.18	7.19E-04	2.43E-02
skeletal system development (GO:0001501)	490	47	21.68	+	2.17	3.38E-06	2.38E-04
histone modification (GO:0016570)	335	32	14.82	+	2.16	1.17E-04	5.39E-03
negative regulation of cell migration (GO:0030336)	283	27	12.52	+	2.16	4.95E-04	1.79E-02
animal organ morphogenesis (GO:0009887)	1031	98	45.62	+	2.15	1.20E-11	2.17E-09
homeostasis of number of cells (GO:0048872)	297	28	13.14	+	2.13	4.07E-04	1.55E-02
tissue morphogenesis (GO:0048729)	627	59	27.75	+	2.13	3.44E-07	2.88E-05
inorganic ion transmembrane transport (GO:0098660)	489	46	21.64	+	2.13	5.92E-06	3.97E-04
positive regulation of cell differentiation (GO:0045597)	938	88	41.51	+	2.12	3.06E-10	4.43E-08
regulation of ion transmembrane transporter activity (GO:0032412)	267	25	11.82	+	2.12	1.02E-03	3.26E-02
regulation of cell development (GO:0060284)	579	54	25.62	+	2.11	1.09E-06	8.36E-05
chordate embryonic development (GO:0043009)	816	76	36.11	+	2.10	7.48E-09	8.68E-07
embryo development ending in birth or egg hatching (GO:0009792)	832	77	36.82	+	2.09	6.76E-09	7.89E-07
embryo development (GO:0009790)	1201	111	53.15	+	2.09	3.23E-12	6.89E-10
protein phosphorylation (GO:0006468)	655	60	28.98	+	2.07	6.07E-07	4.91E-05
regulation of growth (GO:0040008)	699	64	30.93	+	2.07	2.04E-07	1.79E-05
cation transmembrane transport (GO:0098655)	470	43	20.80	+	2.07	3.02E-05	1.63E-03
chemotaxis (GO:0006935)	492	45	21.77	+	2.07	1.69E-05	1.00E-03
regulation of ion transport (GO:0043269)	733	67	32.44	+	2.07	1.37E-07	1.23E-05
plasma membrane bounded cell projection organization (GO:0120036)	1116	102	49.38	+	2.07	3.87E-11	6.56E-09
regulation of cell growth (GO:0001558)	427	39	18.90	+	2.06	5.91E-05	2.97E-03
regulation of ion transmembrane transport (GO:0034765)	493	45	21.82	+	2.06	1.73E-05	1.02E-03
regulation of secretion (GO:0051046)	745	68	32.97	+	2.06	1.05E-07	9.60E-06
epidermis development (GO:0008544)	263	24	11.64	+	2.06	1.62E-03	4.81E-02
heart development (GO:0007507)	570	52	25.22	+	2.06	3.86E-06	2.68E-04
negative regulation of cell motility (GO:2000146)	296	27	13.10	+	2.06	7.43E-04	2.50E-02
negative regulation of RNA metabolic process (GO:0051253)	1355	123	59.96	+	2.05	4.09E-13	1.08E-10
negative regulation of locomotion (GO:0040013)	331	30	14.65	+	2.05	4.93E-04	1.79E-02
taxis (GO:0042330)	497	45	21.99	+	2.05	1.91E-05	1.12E-03
urogenital system development (GO:0001655)	354	32	15.66	+	2.04	3.00E-04	1.20E-02
cell projection organization (GO:0030030)	1173	106	51.91	+	2.04	2.66E-11	4.67E-09
phosphorylation (GO:0016310)	825	74	36.51	+	2.03	4.45E-08	4.44E-06
renal system development (GO:0072001)	315	28	13.94	+	2.01	9.90E-04	3.19E-02
regulation of hormone secretion (GO:0046883)	304	27	13.45	+	2.01	1.30E-03	4.00E-02
negative regulation of cellular component movement (GO:0051271)	305	27	13.50	+	2.00	1.33E-03	4.07E-02
negative regulation of transcription, DNA-templated (GO:0045892)	1244	110	55.05	+	2.00	5.21E-11	8.65E-09
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1463	129	64.74	+	1.99	9.58E-13	2.26E-10
negative regulation of nucleic acid-templated transcription (GO:1903507)	1248	110	55.23	+	1.99	5.54E-11	9.09E-09
negative regulation of cell communication (GO:0010648)	1351	119	59.78	+	1.99	7.06E-12	1.37E-09
negative regulation of RNA biosynthetic process (GO:1902679)	1249	110	55.27	+	1.99	5.64E-11	9.17E-09
negative regulation of signaling (GO:0023057)	1355	119	59.96	+	1.98	7.90E-12	1.52E-09
positive regulation of cell projection organization (GO:0031346)	433	38	19.16	+	1.98	1.73E-04	7.50E-03
regulation of transmembrane transport (GO:0034762)	593	52	26.24	+	1.98	9.78E-06	6.15E-04
cellular response to organic cyclic compound (GO:0071407)	379	33	16.77	+	1.97	4.69E-04	1.73E-02
regulation of neuron death (GO:1901214)	379	33	16.77	+	1.97	4.69E-04	1.73E-02
positive regulation of ion transport (GO:0043270)	322	28	14.25	+	1.97	1.21E-03	3.80E-02
negative regulation of transport (GO:0051051)	495	43	21.90	+	1.96	7.66E-05	3.69E-03
positive regulation of transcription by RNA polymerase II (GO:0045944)	1209	105	53.50	+	1.96	3.14E-10	4.50E-08
regulation of developmental process (GO:0050793)	2534	219	112.13	+	1.95	4.41E-21	2.90E-18
epithelium development (GO:0060429)	1050	90	46.46	+	1.94	1.08E-08	1.21E-06
cell development (GO:0048468)	1821	156	80.58	+	1.94	2.17E-14	7.59E-12
ion transmembrane transport (GO:0034220)	607	52	26.86	+	1.94	1.91E-05	1.12E-03
positive regulation of RNA biosynthetic process (GO:1902680)	1506	129	66.64	+	1.94	4.97E-12	1.03E-09
regulation of transport (GO:0051049)	1880	161	83.19	+	1.94	5.54E-15	2.03E-12
regulation of protein kinase activity (GO:0045859)	670	57	29.65	+	1.92	8.54E-06	5.41E-04
positive regulation of nucleic acid-templated transcription (GO:1903508)	1505	128	66.60	+	1.92	1.19E-11	2.20E-09
positive regulation of transcription, DNA-templated (GO:0045893)	1505	128	66.60	+	1.92	1.19E-11	2.17E-09
regulation of cell migration (GO:0030334)	944	80	41.77	+	1.92	1.21E-07	1.09E-05
negative regulation of signal transduction (GO:0009968)	1229	104	54.38	+	1.91	1.62E-09	2.12E-07
regulation of locomotion (GO:0040012)	1045	88	46.24	+	1.90	3.64E-08	3.73E-06
locomotion (GO:0040011)	1247	105	55.18	+	1.90	1.44E-09	1.89E-07
regulation of cellular component movement (GO:0051270)	1081	91	47.84	+	1.90	2.44E-08	2.53E-06
cell migration (GO:0016477)	891	75	39.43	+	1.90	4.66E-07	3.82E-05
positive regulation of RNA metabolic process (GO:0051254)	1640	138	72.57	+	1.90	2.43E-12	5.40E-10
anatomical structure morphogenesis (GO:0009653)	2268	190	100.36	+	1.89	8.63E-17	4.25E-14
gland development (GO:0048732)	431	36	19.07	+	1.89	6.47E-04	2.25E-02
protein localization to membrane (GO:0072657)	455	38	20.13	+	1.89	3.97E-04	1.52E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1462	122	64.70	+	1.89	9.61E-11	1.52E-08
regulation of cell motility (GO:2000145)	995	83	44.03	+	1.89	1.51E-07	1.34E-05
chromatin organization (GO:0006325)	648	54	28.67	+	1.88	2.38E-05	1.33E-03
regulation of localization (GO:0032879)	2870	239	127.00	+	1.88	4.36E-21	2.99E-18
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1806	150	79.92	+	1.88	6.53E-13	1.66E-10
regulation of transcription by RNA polymerase II (GO:0006357)	2398	199	106.11	+	1.88	3.27E-17	1.78E-14
localization within membrane (GO:0051668)	520	43	23.01	+	1.87	1.88E-04	8.03E-03
regulation of signaling (GO:0023051)	3255	269	144.04	+	1.87	9.45E-24	9.31E-21
negative regulation of developmental process (GO:0051093)	956	79	42.30	+	1.87	4.82E-07	3.94E-05
negative regulation of macromolecule biosynthetic process (GO:0010558)	1478	122	65.40	+	1.87	1.83E-10	2.75E-08
epithelial cell differentiation (GO:0030855)	512	42	22.66	+	1.85	3.63E-04	1.41E-02
regulation of cell communication (GO:0010646)	3243	266	143.51	+	1.85	5.33E-23	4.94E-20
intracellular signal transduction (GO:0035556)	1355	111	59.96	+	1.85	2.45E-09	3.05E-07
regulation of kinase activity (GO:0043549)	770	63	34.07	+	1.85	9.47E-06	5.97E-04
negative regulation of cellular biosynthetic process (GO:0031327)	1535	125	67.93	+	1.84	2.45E-10	3.64E-08
tube morphogenesis (GO:0035239)	738	60	32.66	+	1.84	2.13E-05	1.22E-03
regulation of cell differentiation (GO:0045595)	1592	129	70.45	+	1.83	1.49E-10	2.25E-08
anatomical structure formation involved in morphogenesis (GO:0048646)	951	77	42.08	+	1.83	1.12E-06	8.50E-05
cation transport (GO:0006812)	730	59	32.30	+	1.83	2.88E-05	1.57E-03
movement of cell or subcellular component (GO:0006928)	1467	118	64.92	+	1.82	1.87E-09	2.41E-07
cell differentiation (GO:0030154)	3582	288	158.51	+	1.82	7.45E-24	7.83E-21
export from cell (GO:0140352)	423	34	18.72	+	1.82	1.43E-03	4.37E-02
cellular developmental process (GO:0048869)	3634	292	160.81	+	1.82	3.43E-24	3.86E-21
negative regulation of biosynthetic process (GO:0009890)	1578	126	69.83	+	1.80	6.28E-10	8.61E-08
regulation of multicellular organismal development (GO:2000026)	1454	116	64.34	+	1.80	3.66E-09	4.41E-07
regulation of cellular catabolic process (GO:0031329)	753	60	33.32	+	1.80	3.79E-05	2.00E-03
response to organic cyclic compound (GO:0014070)	632	50	27.97	+	1.79	2.11E-04	8.83E-03
cell adhesion (GO:0007155)	848	67	37.53	+	1.79	1.60E-05	9.64E-04
system development (GO:0048731)	4186	330	185.24	+	1.78	1.11E-26	2.51E-23
negative regulation of cell differentiation (GO:0045596)	685	54	30.31	+	1.78	1.21E-04	5.52E-03
multicellular organism development (GO:0007275)	4801	377	212.45	+	1.77	3.40E-31	1.79E-27
tube development (GO:0035295)	958	75	42.39	+	1.77	5.50E-06	3.72E-04
regulation of cellular component organization (GO:0051128)	2479	194	109.70	+	1.77	2.25E-14	7.57E-12
negative regulation of nitrogen compound metabolic process (GO:0051172)	2317	181	102.53	+	1.77	3.29E-13	9.27E-11
localization of cell (GO:0051674)	1037	81	45.89	+	1.77	2.77E-06	2.00E-04
cell motility (GO:0048870)	1037	81	45.89	+	1.77	2.77E-06	1.99E-04
biological adhesion (GO:0022610)	858	67	37.97	+	1.76	1.86E-05	1.09E-03
negative regulation of cellular metabolic process (GO:0031324)	2478	193	109.65	+	1.76	4.80E-14	1.48E-11
enzyme linked receptor protein signaling pathway (GO:0007167)	553	43	24.47	+	1.76	8.68E-04	2.85E-02
animal organ development (GO:0048513)	3152	244	139.48	+	1.75	9.15E-18	5.15E-15
cellular response to nitrogen compound (GO:1901699)	518	40	22.92	+	1.75	1.28E-03	3.96E-02
regulation of transferase activity (GO:0051338)	881	68	38.99	+	1.74	2.34E-05	1.31E-03
regulation of biological quality (GO:0065008)	3879	299	171.65	+	1.74	4.11E-22	3.24E-19
negative regulation of intracellular signal transduction (GO:1902532)	519	40	22.97	+	1.74	1.30E-03	4.00E-02
positive regulation of cellular component organization (GO:0051130)	1222	94	54.08	+	1.74	6.53E-07	5.23E-05
tissue development (GO:0009888)	1654	127	73.19	+	1.74	6.29E-09	7.40E-07
regulation of system process (GO:0044057)	613	47	27.13	+	1.73	5.41E-04	1.93E-02
anatomical structure development (GO:0048856)	5182	397	229.31	+	1.73	5.00E-31	1.97E-27
positive regulation of macromolecule biosynthetic process (GO:0010557)	1737	133	76.86	+	1.73	2.33E-09	2.94E-07
cell surface receptor signaling pathway (GO:0007166)	1910	146	84.52	+	1.73	4.08E-10	5.75E-08
positive regulation of multicellular organismal process (GO:0051240)	1595	121	70.58	+	1.71	2.35E-08	2.45E-06
negative regulation of response to stimulus (GO:0048585)	1623	123	71.82	+	1.71	2.05E-08	2.15E-06
regulation of phosphorylation (GO:0042325)	1310	99	57.97	+	1.71	7.24E-07	5.71E-05
developmental process (GO:0032502)	5576	421	246.75	+	1.71	2.59E-32	2.04E-28
cellular response to endogenous stimulus (GO:0071495)	888	67	39.30	+	1.71	5.18E-05	2.66E-03
regulation of signal transduction (GO:0009966)	2824	213	124.97	+	1.70	2.79E-14	8.99E-12
regulation of catabolic process (GO:0009894)	903	68	39.96	+	1.70	5.77E-05	2.91E-03
response to organonitrogen compound (GO:0010243)	759	57	33.59	+	1.70	2.54E-04	1.04E-02
regulation of protein phosphorylation (GO:0001932)	1173	88	51.91	+	1.70	3.68E-06	2.57E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2683	201	118.73	+	1.69	3.51E-13	9.71E-11
regulation of protein localization (GO:0032880)	924	69	40.89	+	1.69	5.17E-05	2.67E-03
circulatory system development (GO:0072359)	928	69	41.07	+	1.68	7.19E-05	3.50E-03
regulation of cellular localization (GO:0060341)	861	64	38.10	+	1.68	1.16E-04	5.36E-03
positive regulation of cellular biosynthetic process (GO:0031328)	1845	137	81.64	+	1.68	8.54E-09	9.76E-07
negative regulation of cellular protein metabolic process (GO:0032269)	971	72	42.97	+	1.68	5.27E-05	2.69E-03
negative regulation of metabolic process (GO:0009892)	2905	214	128.55	+	1.66	2.39E-13	7.10E-11
response to nitrogen compound (GO:1901698)	869	64	38.45	+	1.66	1.69E-04	7.41E-03
positive regulation of biosynthetic process (GO:0009891)	1889	139	83.59	+	1.66	1.20E-08	1.33E-06
regulation of multicellular organismal process (GO:0051239)	2813	206	124.48	+	1.65	1.40E-12	3.16E-10
positive regulation of nitrogen compound metabolic process (GO:0051173)	2938	214	130.01	+	1.65	8.67E-13	2.14E-10
negative regulation of cellular process (GO:0048523)	4810	350	212.85	+	1.64	1.74E-22	1.53E-19
negative regulation of catalytic activity (GO:0043086)	661	48	29.25	+	1.64	1.64E-03	4.87E-02
regulation of protein modification process (GO:0031399)	1561	113	69.08	+	1.64	7.56E-07	5.90E-05
positive regulation of macromolecule metabolic process (GO:0010604)	3345	242	148.02	+	1.63	2.20E-14	7.53E-12
negative regulation of molecular function (GO:0044092)	1011	73	44.74	+	1.63	1.01E-04	4.75E-03
positive regulation of cellular metabolic process (GO:0031325)	3163	228	139.97	+	1.63	2.75E-13	7.90E-11
regulation of RNA biosynthetic process (GO:2001141)	3200	230	141.60	+	1.62	2.57E-13	7.51E-11
regulation of nucleic acid-templated transcription (GO:1903506)	3197	229	141.47	+	1.62	4.90E-13	1.27E-10
negative regulation of protein metabolic process (GO:0051248)	1035	74	45.80	+	1.62	1.20E-04	5.54E-03
regulation of RNA metabolic process (GO:0051252)	3487	249	154.30	+	1.61	4.04E-14	1.27E-11
regulation of transcription, DNA-templated (GO:0006355)	3193	228	141.29	+	1.61	6.79E-13	1.70E-10
cellular protein modification process (GO:0006464)	2257	161	99.88	+	1.61	4.78E-09	5.71E-07
protein modification process (GO:0036211)	2257	161	99.88	+	1.61	4.78E-09	5.67E-07
positive regulation of cellular process (GO:0048522)	5730	408	253.56	+	1.61	1.14E-25	1.63E-22
regulation of cellular component biogenesis (GO:0044087)	987	70	43.68	+	1.60	2.20E-04	9.19E-03
regulation of phosphate metabolic process (GO:0019220)	1454	103	64.34	+	1.60	6.16E-06	4.12E-04
negative regulation of biological process (GO:0048519)	5252	372	232.41	+	1.60	3.23E-22	2.68E-19
regulation of phosphorus metabolic process (GO:0051174)	1455	103	64.39	+	1.60	6.23E-06	4.14E-04
positive regulation of metabolic process (GO:0009893)	3659	259	161.92	+	1.60	2.26E-14	7.42E-12
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3730	263	165.06	+	1.59	1.83E-14	6.55E-12
positive regulation of transport (GO:0051050)	1029	72	45.53	+	1.58	2.88E-04	1.16E-02
positive regulation of signaling (GO:0023056)	1745	122	77.22	+	1.58	1.42E-06	1.07E-04
negative regulation of multicellular organismal process (GO:0051241)	1090	76	48.23	+	1.58	1.80E-04	7.76E-03
regulation of molecular function (GO:0065009)	2558	178	113.20	+	1.57	3.61E-09	4.41E-07
positive regulation of biological process (GO:0048518)	6225	433	275.47	+	1.57	1.21E-25	1.58E-22
phosphate-containing compound metabolic process (GO:0006796)	1572	109	69.56	+	1.57	7.37E-06	4.78E-04
positive regulation of cell communication (GO:0010647)	1737	120	76.86	+	1.56	3.28E-06	2.32E-04
positive regulation of molecular function (GO:0044093)	1499	103	66.33	+	1.55	2.03E-05	1.17E-03
phosphorus metabolic process (GO:0006793)	1594	109	70.54	+	1.55	1.46E-05	8.98E-04
macromolecule modification (GO:0043412)	2434	166	107.71	+	1.54	4.91E-08	4.87E-06
regulation of macromolecule biosynthetic process (GO:0010556)	3695	252	163.51	+	1.54	2.80E-12	6.13E-10
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3660	249	161.96	+	1.54	5.77E-12	1.15E-09
regulation of cellular biosynthetic process (GO:0031326)	3863	258	170.94	+	1.51	1.20E-11	2.15E-09
regulation of biosynthetic process (GO:0009889)	3941	261	174.39	+	1.50	2.26E-11	4.00E-09
regulation of response to stimulus (GO:0048583)	3913	259	173.16	+	1.50	2.71E-11	4.70E-09
ion transport (GO:0006811)	1073	71	47.48	+	1.50	1.49E-03	4.50E-02
response to endogenous stimulus (GO:0009719)	1093	72	48.37	+	1.49	1.28E-03	3.96E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5387	354	238.38	+	1.49	9.42E-16	4.12E-13
regulation of primary metabolic process (GO:0080090)	5568	364	246.39	+	1.48	5.57E-16	2.58E-13
regulation of macromolecule metabolic process (GO:0060255)	5978	389	264.53	+	1.47	3.42E-17	1.80E-14
regulation of gene expression (GO:0010468)	4579	297	202.63	+	1.47	4.32E-12	9.09E-10
positive regulation of signal transduction (GO:0009967)	1527	99	67.57	+	1.47	2.59E-04	1.06E-02
regulation of cellular metabolic process (GO:0031323)	5748	372	254.36	+	1.46	8.19E-16	3.69E-13
homeostatic process (GO:0042592)	1679	108	74.30	+	1.45	1.81E-04	7.78E-03
cellular response to chemical stimulus (GO:0070887)	2409	154	106.60	+	1.44	7.10E-06	4.65E-04
regulation of apoptotic process (GO:0042981)	1471	94	65.09	+	1.44	6.91E-04	2.38E-02
response to oxygen-containing compound (GO:1901700)	1322	84	58.50	+	1.44	1.61E-03	4.80E-02
regulation of cellular protein metabolic process (GO:0032268)	2346	149	103.81	+	1.44	1.48E-05	8.96E-04
regulation of metabolic process (GO:0019222)	6451	409	285.47	+	1.43	2.22E-16	1.06E-13
protein localization (GO:0008104)	1900	120	84.08	+	1.43	1.62E-04	7.14E-03
cellular protein localization (GO:0034613)	1378	87	60.98	+	1.43	1.57E-03	4.69E-02
response to chemical (GO:0042221)	3492	220	154.53	+	1.42	8.50E-08	7.80E-06
regulation of cell death (GO:0010941)	1669	105	73.86	+	1.42	4.55E-04	1.70E-02
cellular localization (GO:0051641)	2214	139	97.97	+	1.42	4.86E-05	2.51E-03
cellular macromolecule localization (GO:0070727)	1388	87	61.42	+	1.42	1.65E-03	4.91E-02
regulation of protein metabolic process (GO:0051246)	2521	158	111.56	+	1.42	1.37E-05	8.49E-04
regulation of programmed cell death (GO:0043067)	1507	94	66.69	+	1.41	1.26E-03	3.93E-02
cellular component organization (GO:0016043)	5199	324	230.06	+	1.41	2.77E-11	4.74E-09
regulation of catalytic activity (GO:0050790)	1832	114	81.07	+	1.41	4.00E-04	1.53E-02
cellular response to organic substance (GO:0071310)	1833	113	81.11	+	1.39	6.22E-04	2.18E-02
macromolecule localization (GO:0033036)	2261	139	100.05	+	1.39	1.37E-04	6.22E-03
multicellular organismal process (GO:0032501)	7328	447	324.27	+	1.38	1.65E-15	6.49E-13
cellular component organization or biogenesis (GO:0071840)	5392	328	238.60	+	1.37	3.53E-10	5.02E-08
cellular protein metabolic process (GO:0044267)	2863	174	126.69	+	1.37	2.48E-05	1.37E-03
localization (GO:0051179)	4976	302	220.20	+	1.37	3.66E-09	4.44E-07
response to organic substance (GO:0010033)	2545	151	112.62	+	1.34	2.96E-04	1.19E-02
signaling (GO:0023052)	5237	309	231.74	+	1.33	4.04E-08	4.11E-06
regulation of cellular process (GO:0050794)	11466	672	507.39	+	1.32	9.66E-26	1.52E-22
cell communication (GO:0007154)	5343	313	236.44	+	1.32	6.17E-08	5.90E-06
regulation of biological process (GO:0050789)	11980	691	530.13	+	1.30	5.18E-25	6.29E-22
biological regulation (GO:0065007)	12583	720	556.82	+	1.29	2.54E-26	4.45E-23
transport (GO:0006810)	3566	204	157.80	+	1.29	1.40E-04	6.34E-03
establishment of localization (GO:0051234)	3730	210	165.06	+	1.27	3.03E-04	1.20E-02
protein metabolic process (GO:0019538)	3426	192	151.61	+	1.27	7.32E-04	2.47E-02
cellular macromolecule metabolic process (GO:0044260)	3960	221	175.24	+	1.26	3.02E-04	1.20E-02
signal transduction (GO:0007165)	4921	271	217.76	+	1.24	1.03E-04	4.84E-03
cellular response to stimulus (GO:0051716)	6637	354	293.70	+	1.21	5.63E-05	2.84E-03
cellular process (GO:0009987)	15109	770	668.59	+	1.15	1.34E-12	3.12E-10
biological_process (GO:0008150)	20658	941	914.15	+	1.03	1.69E-04	7.39E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1806	50	79.92	-	.63	3.74E-04	1.45E-02
small molecule metabolic process (GO:0044281)	1420	35	62.84	-	.56	1.57E-04	6.99E-03
response to biotic stimulus (GO:0009607)	1482	36	65.58	-	.55	7.24E-05	3.51E-03
defense response (GO:0006952)	1449	35	64.12	-	.55	7.98E-05	3.83E-03
Unclassified (UNCLASSIFIED)	1330	32	58.85	-	.54	1.69E-04	7.37E-03
response to other organism (GO:0051707)	1444	33	63.90	-	.52	2.39E-05	1.33E-03
response to external biotic stimulus (GO:0043207)	1446	33	63.99	-	.52	2.39E-05	1.33E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1554	35	68.77	-	.51	7.65E-06	4.93E-04
cellular amide metabolic process (GO:0043603)	683	14	30.22	-	.46	1.56E-03	4.67E-02
defense response to other organism (GO:0098542)	1082	22	47.88	-	.46	4.43E-05	2.30E-03
immune response (GO:0006955)	1691	33	74.83	-	.44	5.21E-08	5.14E-06
sensory perception (GO:0007600)	1646	32	72.84	-	.44	7.26E-08	6.77E-06
oxoacid metabolic process (GO:0043436)	770	14	34.07	-	.41	1.92E-04	8.15E-03
innate immune response (GO:0045087)	846	15	37.44	-	.40	6.27E-05	3.10E-03
organic acid metabolic process (GO:0006082)	804	14	35.58	-	.39	6.27E-05	3.11E-03
carboxylic acid metabolic process (GO:0019752)	754	13	33.37	-	.39	1.13E-04	5.23E-03
response to bacterium (GO:0009617)	879	15	38.90	-	.39	2.01E-05	1.16E-03
monocarboxylic acid metabolic process (GO:0032787)	487	8	21.55	-	.37	1.50E-03	4.51E-02
immune effector process (GO:0002252)	515	7	22.79	-	.31	2.46E-04	1.02E-02
peptide metabolic process (GO:0006518)	453	6	20.05	-	.30	5.89E-04	2.08E-02
defense response to bacterium (GO:0042742)	503	4	22.26	-	.18	5.76E-06	3.88E-04
regulation of response to biotic stimulus (GO:0002831)	308	2	13.63	-	.15	2.98E-04	1.19E-02
sensory perception of chemical stimulus (GO:0007606)	1223	7	54.12	-	.13	1.51E-15	6.11E-13
humoral immune response (GO:0006959)	423	2	18.72	-	.11	4.03E-06	2.76E-04
immunoglobulin production (GO:0002377)	254	1	11.24	-	.09	4.19E-04	1.59E-02
production of molecular mediator of immune response (GO:0002440)	272	1	12.04	-	.08	1.98E-04	8.35E-03
translation (GO:0006412)	301	1	13.32	-	.08	6.59E-05	3.25E-03
peptide biosynthetic process (GO:0043043)	322	1	14.25	-	.07	2.00E-05	1.16E-03
sensory perception of smell (GO:0007608)	1123	3	49.69	-	.06	7.80E-18	4.56E-15
complement activation, classical pathway (GO:0006958)	216	0	9.56	-	 < 0.01	1.32E-04	6.01E-03
complement activation (GO:0006956)	228	0	10.09	-	 < 0.01	8.98E-05	4.26E-03
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	220	0	9.74	-	 < 0.01	1.35E-04	6.12E-03
